AÑO_INICIO,NOMBRE,LAT,LNG,DESCRIPCION,ENTORNO,MONTO_CONTRATO,ETAPA,TIPO,COMUNA,JURISDICCION,MANO_OBRA,PORCENTAJE_AVANCE,ID,ETAPA_DETALLE,AREA_RESPONSABLE,BARRIO,CALLE_1,SECCION,MANZANA,PARCELA,DIRECCION,FECHA_INICIO,FECHA_FIN,PLAZO_MESES,IMAGEN_1,IMAGEN_2,IMAGEN_3,IMAGEN_4,LICITACION_OFERTA_EMPRESA,LICITACION_ANIO,BENEFICIARIOS,COMPROMISO,LINK_INTERNO,PLIEGO_DESCARGA,
2019,Obra 156 Bº SAN MARTIN - CONJUNTO 1 - REPARACION 7 VIV. - DPTO SAN MARTIN,-30.747781544868081088885589647,-68.136768042208046597720094642,,VIVIENDA/HABITAT,3578068.38,Finalizada,MEJORAMIENTO DE VIVIENDAS,,San Martin,,100,3171,70.Finalizado,Instituto Provincial de la Vivienda,,,,,,,02/07/2019,30/09/2019,3,,,,,LUCERO WIDMER. RICARDO MIGUEL,2018,,,,,
2019,Obra 149 REFACCION DE SALA DE NIVEL INICIAL DE LA ESCUELA CECILIO AVILA ,-30.360775204618348287173755986,-68.416743219283305446041254148,,ARQUITECTURA,3498893.55,Finalizada,EDIFICIOS EDUCATIVOS,,Rawson,,100,3160,70.Finalizado,Dirección de Infraestructura Escolar,,,,,,,01/07/2019,28/11/2019,5,,,,,URBAN  S.R.L.,2019,,,,,
2019,Obra 154 REFACCION  ENI N°9 -SARA ECLESTON,-30.035713306426888939324463691,-69.359035621563533187307219723,,ARQUITECTURA,3337307.23,Finalizada,EDIFICIOS EDUCATIVOS,,San José de Jáchal,,100,3162,70.Finalizado,Dirección de Infraestructura Escolar,,,,,,,01/07/2019,28/11/2019,5,,,,,VALDIVIESO Y DEBANDI  S.R.L.,2019,,,,,
2019,Obra 99 ADICIONAL OBRA B° SANTA MARIA - SECTOR 1 - 102 VIV.- DPTO. CHIMBAS,-31.726268738076147522032229886,-67.615093767072198038999728794,,VIVIENDA/HABITAT,3317729.18,Finalizada,OBRAS D EINFRAESTRUCTURA Y COMPLEMENTARIAS,,Chimbas,,100,3082,70.Finalizado,Instituto Provincial de la Vivienda,,,,,,,06/02/2019,04/09/2019,7,,,,,DAZ CONSTRUCCIONES  S.R.L.,2016,,,,,
2019,Obra 147 CIERRE PUBLICO Y STAND - PREDIO FERIAL,-30.12868613901876185097338796,-68.282906025008028399008392014,,ARQUITECTURA,3243804.15,Finalizada,INRAESTRUCTURA RECREATIVA Y CULTURAL,,Chimbas,,100,3157,70.Finalizado,Dirección de Arquitectura,,,,,,,04/05/2019,01/09/2019,4,,,,,PM CONSTRUCCIONES  S.R.L.,2019,,,,,
2019,Obra 191 Ampliación de Obra Red de Media Presión de Gas B° General Acha ,-31.577498063041892652007227851,-69.379573917598880745370244358,,ENERGIA,3227120.95,Finalizada,DISTRIBUCION DE GAS,,Rawson,,100,3223,70.Finalizado,Dirección Provincial de Redes de Gas,,,,,,,26/09/2019,24/01/2020,4,,,,,REGALADO BENITEZ. CARLOS ADOLFO,2019,,,,,
2019,Obra 192 B° SARMIENTO CONJUNTO 6 - CONTINUACIÓN - 30 VIV.- ADICIONAL DE OBRA,-31.043069529001024471734162721,-69.150411056644886117351538242,,VIVIENDA/HABITAT,2746327.23,Finalizada,MEJORAMIENTO DE VIVIENDAS,,Sarmiento,,100,3226,70.Finalizado,Instituto Provincial de la Vivienda,,,,,,,02/09/2019,29/02/2020,6,,,,,VALDIVIESO Y DEBANDI  S.R.L.,2018,,,,,
2019,Obra 208 Erradicación de arbustos y relleno de carcavas en tauld aguas abajo. Presa de Embalse Q. de Ullum,-30.437307615611384247881763609,-68.793588502809352710928806025,,RECURSOS HIDRICOS,2259102.51,Finalizada,OBRAS DE DEFENSA HIDRICAS,,Ullum,,100,3271,70.Finalizado,Dirección de Recursos Energéticos,,,,,,,14/11/2019,13/01/2020,2,,,,,BASTANTE. FERNANDO DIEGO,2019,,,,,
2019,Obra 106 Bº AMECOM 4 - 123 VIV.- DPTO. RAWSON - ECONOMIAS Y DEMASIAS - GAS NATURAL,-30.464337631533438015590294209,-67.672638401324345601822057657,,VIVIENDA/HABITAT,2232032.53,Finalizada,OBRAS D EINFRAESTRUCTURA Y COMPLEMENTARIAS,,Rawson,,100,2918,70.Finalizado,Instituto Provincial de la Vivienda,,,,,,,04/04/2019,23/06/2019,3,,,,,INGENIERO CESAR BORREGO  S.R.L.,2019,,,,,
2019,Obra 120 COMPENSACION e/ECONOMIA Y ADICIONAL DE OBRA B° ASOCIACION CIVIL JARDIN POLICIAL - ZONA NORTE - 47 VIV. - DPTO JACHAL,-30.020284382535473056096684661,-67.971131819801285290750186759,,VIVIENDA/HABITAT,2176484.04,Finalizada,OBRAS D EINFRAESTRUCTURA Y COMPLEMENTARIAS,,San José de Jáchal,,100,3112,70.Finalizado,Instituto Provincial de la Vivienda,,,,,,,01/03/2019,31/03/2019,1,,,,,PM CONSTRUCCIONES SRL Y OBRASCOM SRL  U.T.E.,2019,,,,,
